package	repo	files	license	binary_rpm	source_rpm
Lmod-8.7.7-1.el7.x86_64	epel	1	MIT AND LGPL-2.0-only	https://kojipkgs.fedoraproject.org/packages/Lmod/8.7.7/1.el7/x86_64/Lmod-8.7.7-1.el7.x86_64.rpm	https://github.com/TACC/Lmod/archive/refs/tags/8.7.7.tar.gz
NetworkManager-1.18.8-2.el7_9.x86_64	centos-updates	8	GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/NetworkManager-1.18.8-2.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/NetworkManager-1.18.8-2.el7_9.src.rpm
NetworkManager-libnm-1.18.8-2.el7_9.x86_64	centos-updates	1	GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/NetworkManager-libnm-1.18.8-2.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/NetworkManager-1.18.8-2.el7_9.src.rpm
NetworkManager-team-1.18.8-2.el7_9.x86_64	centos-updates	1	GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/NetworkManager-team-1.18.8-2.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/NetworkManager-1.18.8-2.el7_9.src.rpm
NetworkManager-tui-1.18.8-2.el7_9.x86_64	centos-updates	1	GPLv2+	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/NetworkManager-tui-1.18.8-2.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/NetworkManager-1.18.8-2.el7_9.src.rpm
acl-2.2.51-15.el7.x86_64	centos-os	3	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/acl-2.2.51-15.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/acl-2.2.51-15.el7.src.rpm
acpid-2.0.19-9.el7.x86_64	centos-os	3	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/acpid-2.0.19-9.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/acpid-2.0.19-9.el7.src.rpm
alsa-lib-1.1.8-1.el7.x86_64	centos-os	2	LGPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/alsa-lib-1.1.8-1.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/alsa-lib-1.1.8-1.el7.src.rpm
alsa-tools-firmware-1.1.0-1.el7.x86_64	centos-os	4	GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/alsa-tools-firmware-1.1.0-1.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/alsa-tools-1.1.0-1.el7.src.rpm
apr-1.4.8-7.el7.x86_64	centos-os	1	ASL 2.0 and BSD with advertising and ISC and BSD	https://vault.centos.org/7.9.2009/os/x86_64/Packages/apr-1.4.8-7.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/apr-1.4.8-7.el7.src.rpm
apr-util-1.5.2-6.el7.x86_64	centos-os	1	ASL 2.0	https://vault.centos.org/7.9.2009/os/x86_64/Packages/apr-util-1.5.2-6.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/apr-util-1.5.2-6.el7.src.rpm
at-3.1.13-25.el7_9.x86_64	centos-updates	2	GPLv3+ and GPLv2+ and ISC and MIT and Public Domain	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/at-3.1.13-25.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/at-3.1.13-25.el7_9.src.rpm
