00	birth number
01	czech republic id
02	czechidno#
03	identity no
04	identity number
05	identityno#
06	identityno
07	insurance number
08	national identification number
09	nationalnumber#
10	national number
11	personalidnumber#
12	personal id number
13	personal identification number
14	personal number
15	pid#
16	pid
17	rodne cislo
18	ssn
19	ssn#
20	social security number
21	tax id
22	tax identification no
23	tax identification number
24	tax no#
25	tax no
26	tax number
27	tax registration number
28	taxid#
29	taxidno#
30	taxidnumber#
31	taxno#
32	taxnumber#
33	taxnumber
34	tin id
35	tin no
36	tin#
37	unique identification number
