# Those have pattern needs but counting is not a fixed word pattern, so that they cannot be conveniently omdeled by PM-Reg 
Win.Trojan.FakeAV-14042;Target:1;0&(1=0);460069006c0065004400650073006300720069007000740069006f006e00{0-16}44007200570065006200200046006f0072002000570069006e0064006f00770073002000{0-8}200032003000;43006f006d00700061006e0079004e0061006d006500{0-16}44006f00630074006f00720020005700650062002c0020004c00740064002e00
Win.Trojan.B-473;Engine:73-255,Target:1;0&(1>2);7B35354134393838432D433931462D343035342D393037362D3232304143354543303346467D00;5068{4}
Win.Trojan.UPS-1;Engine:51-255,Target:1;(0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27)>50;9c50535756515552{30-500}5a5d595e5f5b589d;5157525355509c{30-500}9d585d5b5a5f59;519c535250{30-500}585a5b9d59;515750555653529c{30-500}9d5a5b5e5d585f59;9c5350575152{30-500}5a595f585b9d;525057569c5351{30-500}595b9d5e5f585a;55519c52575350{30-500}585b5f5a9d595d;539c50565257{30-500}5f5a5e589d5b;9c56575055515253{30-500}5b5a595d585f5e9d;9c52505351{30-500}595b585a9d;555653525751509c{30-500}9d58595f5a5b5e5d;5150579c565253{30-500}5b5a5e9d5f5859;535051559c5752{30-500}5a5f9d5d59585b;519c52535650{30-500}585e5b5a9d59;529c505751{30-500}595f589d5a;535657519c{30-500}9d595f5e5b;51535250579c{30-500}9d5f585a5b59;5355565057529c51{30-500}599d5a5f585e5d5b;55515653509c52{30-500}5a9d585b5e595d;56519c52505753{30-500}5b5f585a9d595e;529c51535650{30-500}585e5b599d5a;51509c5352{30-500}5a5b9d5859;565352519c50{30-500}589d595a5b5e;575251539c5056{30-500}5e589d5b595a5f;52519c535056{30-500}5e585b9d595a;9c525157565350{30-500}585b5e5f595a9d;5352565751509c55{30-500}5d9d58595f5e5a5b;9c515255505357{30-500}5f5b585d5a599d
Win.Malware.Locky-30624;Engine:51-255,Target:1;0>2;0f318adb3345??a328{3}f715{4}f7d08ac08b45??2b45??03c1ff15{4}555d0f31538f05{4}3345??a330{3}3305{4}8135{8}8bc0894d??8b45{-15}0f31
Html.Exploit.CVE_2016_7217-1;Engine:51-255,Target:3;0&1=0&2&3;3c766964656f{-100}686569676874;3c766964656f{-100}7769647468;676574636f6e74657874{-10}6578706572696d656e74616c2d776562676c;73657474696d656f7574{-100}72656c6f6164
Win.Malware.DistTrack-10;Engine:51-255,Target:1;(0>3)&(1>3)&(2>3);8001??ffc248ffc183fa??;660119ffc24883c1??4863c2483bc6;48f7e1490f40c5488bc8
Unix.Tool.Extremeparr-6296516-0-6296516-1;Engine:51-255,Target:6;(0&(1>20)&2);4154000025732f257300;83c40c68{4}8d85{2}ffff508d85{2}ffff50e8{2}ffff83c40c68{4}8d85{2}ffff508d85{2}ffff50e8{2}ffff;6a028d85{2}ffff508d85{2}ffff50e8{2}ffff83c40ce9
Js.Exploit.Generic-6330043-0;Engine:51-255,Target:3;(0>3)&(1>1)&(2>1)&3;7472797b{-50}6361746368286529;7368696674;756e7368696674;666f72{-25}6c6574{-25}696e{-25}5c75{-100}756e7368696674
Win.Ransomware.Locky-6335674-3;Engine:70-255,Target:1;(0>5)&(1>5)&2&(3>1);?EE8{4}85C0;?EE8{4}83F800;5?03??3C81??A000000089{5}8D{5}81??BFCDA289{-75}6A006A08{11}6AFFFFD0;90FF25
Win.Downloader.Razy-6336114-0;Engine:51-255,Target:1;0&(1>3)&(2=2)&(3>75);7066723d;44656661756c74466f726d2e;8b0424894424??8b4c24??83f903;8b0e83c604890f
Html.Exploit.CVE_2017_11841-6373189-1;Engine:55-255,Target:3;(0>1)&1;6c6574{-50}63616c6c287b7d29;6c6574{-50}66756e6374696f6e
Doc.Macro.Valyria-6388352-1;Engine:81-255,Target:2;0&(1>15)&(2>14);537562204578656375746528290d0a44696d20{4-8}20417320446f75626c650d0a44696d20{4-8}20417320537472696e670d0a::i;203d20{4-9}20262043687228{-3}290d0a;53756220{4-8}28290d0a{4-8}203d20{-3}202b20{-3}0d0a456e64205375620d0a::i
Doc.Dropper.Downloader-6398287-0;Engine:81-255,Target:2;0&1&2&(3>20);0:4174747269627574652056425f4e616d65203d2022;537562204175746f4f70656e28290d0a{5-50}0d0a456e6420537562;64696d::i;46756e6374696f6e{-50}28290d0a{-100}456e642046756e6374696f6e0d0a
Win.Malware.Freenki-6402795-0;Engine:51-255,Target:1;(0>35)&(1>5);73716c697465;8a940c{4}80ea6380f25388940c{4}413bc87c
Win.Trojan.Multi-6413508-0;Engine:51-255,Target:1;0>15&1>15&2>15&3>5;2e747874;52414e444f4d5f535452494e47;53657443757272656e744469726563746f7279206661696c65642028256429;558bec83ec70a1{4}33c58945??8d45??506a??ff15{4}8945??837d??0075??eb??817d{5}76??8b4d??5168{4}ff15{4}83c408eb??68{4}ff15{4}85c075??ff15{4}5068{4}ff15{4}83c408eb??8d55??52ff15{4}8b4d??33cde8{4}8be55dc3
Win.Trojan.Keymarble-6641936-0;Engine:70-255,Target:1;0&1&(2=2);8a5c24??02c38a5c24??32c38a5c24??32c38a5c24??32c332c1b92f000000;8a1c2a8b7424??8ac88a4424??32d8884c24??881c2a423bd67c;6a006a006a0068{4}6a006a00ffd6a3
Win.Packed.Recking-6955281-1;Engine:51-255,Target:1;(0|1)>5;0F2805????40000F280D????40000F2815????4000B0??0F1105????40000F110D????4000;0F2805????40000F280D????4000B0??0F1105????40000F110D????4000
Win.Trojan.SMS-98;Engine:51-255,Target:1;0&1&(2=0);53656e64534d53*536576656e5a6970457874726163746f72*44656372797074696f6e;0:4d5a{60-300}50450000;0:4d5a{60-300}50450000????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????00000000
Win.Trojan.BAT-115;Engine:51-255,Target:1;0&(1>5);64656c20222573797374656d726f6f74255c73797374656d33325c647269766572735c6574635c686f73747322;6563686f20{10-30}2573797374656d726f6f74255c73797374656d33325c647269766572735c6574635c686f737473
