00	centrale personregister
01	civilt registreringssystem
02	cpr#
03	gesundheitskarte nummer
04	gesundheitsversicherungkarte num
05	health card
06	health insurance card number
07	health insurance number
08	identification number
09	identifikationsnummer
10	identifikationsnummer#
11	identity number
12	krankenkassennummer
13	nationalid#
14	nationalnumber#
15	national number
16	personalidnumber#
17	personalidentityno#
18	personal id number
19	personnummer
20	personnummer#
21	reisekrankenversicherungskartenu
22	rejsesygesikringskort
23	ssn#
24	skat id
25	skat kode
26	skat nummer
27	skattenummer
28	social security number
29	sundhedsforsikringskort
30	sundhedsforsikringsnummer
31	sundhedskort
32	sundhedskortnummer
33	sygesikring
34	sygesikringkortnummer
35	tax code
36	travel health insurance card
37	uniqueidentityno#
38	tax number
39	tax registration number
40	tax id
41	tax identification number
42	taxid#
43	taxnumber#
44	tax no
45	taxno#
46	taxnumber
47	tax identification no
48	tin#
49	taxidno#
50	taxidnumber#
51	tax no#
52	tin id
53	tin no
54	cpr.nr
55	cprnr
56	cprnummer
57	personnr
58	personregister
59	sygesikringsbevis
60	sygesikringsbevisnr
61	sygesikringsbevisnummer
62	sygesikringskort
63	sygesikringskortnr
64	sygesikringskortnummer
65	sygesikringsnr
66	sygesikringsnummer
