00	national identification
01	national identification number
02	national id
03	RUN
04	RUT
05	Rol Unico Nacional
06	Rol Unico Tributario
07	RUN#
08	RUT#
09	nationaluniqueroleID#
10	nacional identidad
11	numero identificacion
12	identidad numero
13	Chilean identity no.
14	Chilean identity number
15	Chilean identity #
16	Unique Tax Registry
17	Unique Tributary Role
18	Unique Tax Role
19	Unique Tributary Number
20	Unique National Number
21	Unique National Role
22	National unique role
23	Chile identity no.
24	Chile identity number
25	Chile identity #
26	R.U.T
27	R.U.N
