00	birth number
01	czech republic id
02	czechidno#
03	identity no
04	identity number
05	identityno#
06	identityno
07	insurance number
08	national identification number
09	nationalnumber#
10	national number
11	personalidnumber#
12	personal id number
13	personal identification number
14	personal number
15	pid#
16	rodne cislo
17	ssn#
18	social security number
19	tax id
20	tax identification no
21	tax identification number
22	tax no#
23	tax no
24	tax number
25	tax registration number
26	taxid#
27	taxidno#
28	taxidnumber#
29	taxno#
30	taxnumber#
31	taxnumber
32	tin id
33	tin no
34	tin#
35	unique identification number
