00	centrale person
01	civilt registre
02	cpr#
03	gesundheitskart
04	gesundheitsvers
05	health card
06	health insuranc
07	identification 
08	identifikations
09	identity number
10	krankenkassennu
11	nationalid#
12	nationalnumber#
13	national number
14	personalidnumbe
15	personalidentit
16	personal id num
17	personnummer
18	personnummer#
19	reisekrankenver
20	rejsesygesikrin
21	ssn#
22	skat id
23	skat kode
24	skat nummer
25	skattenummer
26	social security
27	sundhedsforsikr
28	sundhedskort
29	sundhedskortnum
30	sygesikring
31	sygesikringkort
32	tax code
33	travel health i
34	uniqueidentityn
35	tax number
36	tax registratio
37	tax id
38	tax identificat
39	taxid#
40	taxnumber#
41	tax no
42	taxno#
43	taxnumber
44	tin#
45	taxidno#
46	taxidnumber#
47	tax no#
48	tin id
49	tin no
50	cpr.nr
51	cprnr
52	cprnummer
53	personnr
54	personregister
55	sygesikringsbev
56	sygesikringskor
57	sygesikringsnr
58	sygesikringsnum
