00	id-kaart
01	ik
02	isikukood#
03	isikukood
04	maksu id
05	maksukohustuslase identifitseeri
06	maksunumber
07	national identification number
08	national number
09	personal code
10	personal id number
11	personal identification code
12	personal identification number
13	personalidnumber#
14	tax id
15	tax identification no
16	tax identification number
17	tax no#
18	tax no
19	tax number
20	tax registration number
21	taxid#
22	taxidno#
23	taxidnumber#
24	taxno#
25	taxnumber#
26	taxnumber
27	tin id
28	tin no
29	tin#
