00	client identity service
01	identification number
02	personal id number
03	personal public service 
04	personal service no
05	pps no
06	pps number
07	pps num
08	pps service no
09	ppsn
10	ppsno#
11	ppsno
12	psp
13	public service no
14	publicserviceno#
15	publicserviceno
16	revenue and social insur
17	rsi no
18	rsi number
19	rsin
20	uimh
21	uimhir aitheantais phear
22	tax id
23	tax identification no
24	tax identification numbe
25	tax no#
26	tax no
27	tax number
28	tax registration number
29	taxid#
30	taxidno#
31	taxidnumber#
32	taxno#
33	taxnumber#
34	taxnumber
35	tin id
36	tin no
37	tin#
