00	administrative num
01	birth number
02	citizen number
03	civil number
04	electronic census 
05	electronic number
06	fiscal code
07	healthcare user nu
08	id-code
09	identification num
10	id-number
11	individual number
12	latvija alva
13	national id
14	national identifyi
15	national identity 
16	national insurance
17	national register 
18	personal certifica
19	personal code
20	personal id code
21	personal id number
22	personal identific
23	personal identifie
24	personal identity 
25	personal number
26	personal numeric c
27	personalcodeno#
28	personas kods
29	population identif
30	public service num
31	registration numbe
32	revenue number
33	social insurance n
34	social security nu
35	state tax code
36	tax file number
37	tax id
38	tax identification
39	tax no#
40	tax no
41	tax number
42	taxid#
43	taxidno#
44	taxidnumber#
45	taxno#
46	taxnumber#
47	taxnumber
48	tin id
49	tin no
50	tin#
51	voter's number
